tile_id,center_lon,center_lat,bounds,filepath,success
0,-84.44715555555555,33.652306306306286,"[-84.45, 33.64999999999998, -84.44431111111112, 33.65461261261259]",data/naip_tiles/tile_0000.tif,True
1,-84.44146666666667,33.652306306306286,"[-84.44431111111112, 33.64999999999998, -84.43862222222224, 33.65461261261259]",data/naip_tiles/tile_0001.tif,True
2,-84.43577777777779,33.652306306306286,"[-84.43862222222224, 33.64999999999998, -84.43293333333335, 33.65461261261259]",data/naip_tiles/tile_0002.tif,True
3,-84.4300888888889,33.652306306306286,"[-84.43293333333335, 33.64999999999998, -84.42724444444447, 33.65461261261259]",data/naip_tiles/tile_0003.tif,True
4,-84.42440000000002,33.652306306306286,"[-84.42724444444447, 33.64999999999998, -84.42155555555559, 33.65461261261259]",data/naip_tiles/tile_0004.tif,True
5,-84.41871111111114,33.652306306306286,"[-84.42155555555559, 33.64999999999998, -84.4158666666667, 33.65461261261259]",data/naip_tiles/tile_0005.tif,True
6,-84.41302222222225,33.652306306306286,"[-84.4158666666667, 33.64999999999998, -84.41017777777782, 33.65461261261259]",data/naip_tiles/tile_0006.tif,True
7,-84.40733333333337,33.652306306306286,"[-84.41017777777782, 33.64999999999998, -84.40448888888893, 33.65461261261259]",data/naip_tiles/tile_0007.tif,True
8,-84.40164444444449,33.652306306306286,"[-84.40448888888893, 33.64999999999998, -84.39880000000005, 33.65461261261259]",data/naip_tiles/tile_0008.tif,True
9,-84.3959555555556,33.652306306306286,"[-84.39880000000005, 33.64999999999998, -84.39311111111117, 33.65461261261259]",data/naip_tiles/tile_0009.tif,True
10,-84.39026666666672,33.652306306306286,"[-84.39311111111117, 33.64999999999998, -84.38742222222228, 33.65461261261259]",data/naip_tiles/tile_0010.tif,True
11,-84.38457777777784,33.652306306306286,"[-84.38742222222228, 33.64999999999998, -84.3817333333334, 33.65461261261259]",data/naip_tiles/tile_0011.tif,True
12,-84.37888888888895,33.652306306306286,"[-84.3817333333334, 33.64999999999998, -84.37604444444452, 33.65461261261259]",data/naip_tiles/tile_0012.tif,True
